,,,,,,Eur,USD,Sek,,,,
,WoodenHaptics.org Bill of Materials and Recommended Equipment,,Mechanics (without wood cut costs),,, 209, 221,1 979,,,,
,,,"Motors, encoders and current drivers",,,1 475,1 564,13 983,,,,
,We will try to reduce the number of distributors to reduce complexity,,Other electronics,,, 199, 211,1 886,,,,
,"Maxon, Farnell and Misumi is easy to access globally",,Estimated total* part cost for kit:,,,1 883,1 996,17 848,,,,
,Other distributors might be tricky in some parts of the world,,,,,,,,,,,
,Let us know your experience in the forum of woodenhaptics.org ,,Estimated required tools cost:,,, 196, 208,1 862,,,,
,,,,,,,,,,,,
,"*) No labour cost included, i.e. for laser-cutting or soldering.",,1 EUR in SEK,,,kr9.48,,,,,,
,"Largest costs are in the motors, drivers and PCIe card that could",,1 EUR in USD,,,$1.06,,,,,,
,be re-used in several projects if you so wish. Required tools ,,1 EUR in CHF,,,CHF1.07,,,,,,
,(except laser-cutter and soldering tools) are included. ,,,,,,,,,,,
,,,Suggested distributor (Europe) part number,,,,,,Estimated Unit Cost €,,,
Alter- native,Our Name,quantity,Maxon,Farnell,Misumi,Elektrokit,Tecni-cable,Other Distributor,,Sum Cost,Full name,Notes
,Double ferrule (for crimping onto wire rope),20,,,,,115.000.700,,€0.24,€4.77,Code 0.7 Double Copper Ferrule,
,Turnbuckle (spannschloss),1,,,,,,Hobbykellershop.eu: 018-3051 ,€6.17,€6.17,Spannschloss M2.5 - High Precision,
,,,,,,,,,,€0.00,,
,Required Tools for Mechanics Workbench,,,,,,,,,€0.00,,
,Arbor Press,1,,,,,,Schuchardt Maskin smaskin.se,€91.77,€91.77,Verkstadspress (smallest),Chose a larger next time
,Wire rope cutter,1,,,,,100.004.062,,€9.92,€9.92,Budget Wire Rope Cutter up to 3mm Diameter - 100.004.062,Chose a better and more expensive
,Wire rope ferrule crimper (you really need this),1,,,,,115.007.023,,€51.27,€51.27,TECNI®Cable Crimp Tool for Double Copper Ferrules - 115.007.023,
,Torch,1,,,,,,Teknikmagasinet.se 340927,€24.26,€24.26,,
,Torch gas,1,,,,,,Teknikmagasinet.se 340927,€3.16,€3.16,,
,Hex keys,1,,,,,,Local,€8.00,€8.00,,
,Mini-hex key 1.3mm (M2.5) for flexible couplers,1,,,,,,Digi-key,,,,
,Adjustable wrench,1,,,,,,Local,€8.00,€8.00,,
,,,,,,,,,,€0.00,,
,Other,,,,,,,,,€0.00,,
,Rubber feet (from a computer case; SilverStone Milo ML05B Black),4,,,,,,,€1.00,€4.00,,
,,,,,,,,,,€0.00,,
,ELECTRONICS,,,,,,,,,€0.00,,
,,,,,,,,,,€0.00,,
,Electronics Box,,,,,,,,,€0.00,,
,WoodenHaptics Motherboard (see below),1,,,,,,,,€0.00,,
,WoodenHaptics DAQ Extension board (see below) /or/,0,,,,,,,,€0.00,,
,mbed.org M3 extension board (for USB experimental),1,,1761179,,,,,€51.45,€51.45,"NXP  OM11043  LPC1768, MBED PROTOTYPING BOARD, KIT",The chip alone is only 90kr
,,,,,,,,,,€0.00,,
,Power Supply,,,,,,,,,€0.00,,
,19.5V power supply 5A,1,,,,,,Liontech AB,€37.97,€37.97,Innergy PowerGear 90,
,,,,,,,,,,€0.00,,
,Electric Cables,,,,,,,,,€0.00,,
,12mm sleeves (5m),1,,1297228,,,,,€3.02,€3.02,"PRO POWER, SLEEVING, BRAID, 12MM, BLACK, 5M, PRO POWER-PETBK12BG5-SLEEVING, BRAID, 12MM, BLACK, 5M",
,Male 10 pin cable head (for extending enc.cables),3,,,,41011859,,,€1.66,€4.97,IDC hane kabel 10-pol 2.54mm,
,Female 10 pin cable head (for extending enc. cables),3,,,,41000574,,,€0.37,€1.10,IDC hona kabel 10-pol guld 2.54mm,
,"10 pin flat cable, per meter (for extending enc. cables)",5,,,,31670207,,,€0.63,€3.13,Flatkabel grå 10 ledare 1.27mm /m,
,,,,,,,,,,€0.00,,
,PC Connection,,,,,,,,,€0.00,,
,Sensoray S826,0,,,,,,www.enciris.com,€707.02,€0.00,http://www.sensoray.com/products/826.htm,Order directly or through distributor
,DAQ Cable 26-pin,0,,2217642,,,,,€4.12,€0.00,"AMPHENOL  FC26600-0  LEAD, 2.54MM, F/F, 600MM, 26WAY",
,DAQ Cable 50-pin,0,,2217646,,,,,€7.00,€0.00,"AMPHENOL  FC50600-0  LEAD, 2.54MM, F/F, 600MM, 50WAY",
,,,,,,,,,,€0.00,,
,"Motors, Encoders & Current driver",,,,,,,,,€0.00,,
,Maxon 30mm (310009) & 500 CPR Encoder combination,3,310009,,,,,,€348.60,"€1,045.79",,
,Maxon 50/5 driver module (could eventually be custom made),3,438725,,,,,,€143.08,€429.25,"ESCON Module 50/5, 4-Q Servocontroller for DC/EC motors, 5/15 A, 10 - 50 VDC",
,,,,,,,,,,,,
,ELECTRONICS CIRCUIT BOARDS,,,,,,,,,€0.00,,
,,,,,,,,,,€0.00,,
,WoodenHaptics Motherboard,,,,,,,,,€0.00,,
,PCB manufacturing (price based on order of 2 units),1,,,,,,pcb-pool.com,€69.00,€69.00,,
,motor & high pwr connectors,4,,1761541,,,,,€0.31,€1.22,"IMO PRECISION CONTROLS  20.155MH/2  HEADER, 3.5MM, HORIZ, 2WAY",
,cable block high pwr,4,,1761532,,,,,€0.83,€3.33,"IMO PRECISION CONTROLS  20.1550M/2  TERMINAL BLOCK, 3.5MM, 2WAY",
,10 pin encoder connector,3,,2215290,,,,,€0.65,€1.96,"AMPHENOL  T821110A1R100CEU  Kabel-till-kort kontaktdon, Right Angle, T821 Serien, 10 Kontakt(-er), Hylsstickpropp, 2.54 mm",
,"micro usb connector, smd (non-reversed) (make one with holes next)",1,,2293753,,,,,€1.47,€1.47,,
,20 pin socket (to ext. board),2,,1593469,,,,,€2.05,€4.09,"MULTICOMP  2212S-20SG-85  SOCKET, PCB, 1 ROW, 20WAY",
,4 pin socket (to ext. board),1,,1593460,,,,,€0.39,€0.39,"MULTICOMP  2212S-04SG-85  SOCKET, PCB, 1 ROW, 4WAY",
,18 pin (2x9) escon socket,3,,1668305,,,,,€3.64,€10.93,"SAMTEC  SSQ-109-01-G-D  RECEPTACLE, 2.54MM, DUAL, 18WAY",
,12 pin escon socket (1 pin discarded),3,,1593465,,,,,€0.16,€0.47,"MULTICOMP  2212S-12SG-85  SOCKET, PCB, 1 ROW, 12WAY",
,Encoder driver,3,,1103045,,,,,€1.02,€3.05,"TEXAS INSTRUMENTS  AM26LS32ACD  IC, DIFF LINE RECEIVER QUAD, 26LS32",
,,,,,,,,,,€0.00,,
,WoodenHaptics DAQ Extension Board,,,,,,,,,€0.00,,
,PCB manufacturing (price based on order of 6 units),0,,,,,,pcb-pool.com,€15.70,€0.00,,
,50 pin daq connector,0,,2217539,,,,,€1.92,€0.00,"AMPHENOL  T816150A1S102CEU  HEADER, L/LATCH, STR, 2.54MM, 50WAY",Should be replaced with low profile
,26 pin daq connector,0,,2217535,,,,,€1.71,€0.00,"AMPHENOL  T816126A1S102CEU  HEADER, L/LATCH, STR, 2.54MM, 26WAY",Should be replaced with low profile
,44 pins (50) ext. board,0,,3418388,,,,,€2.75,€0.00,"TE CONNECTIVITY / AMP  5-826629-0  HEADER, 1ROW, 50WAY",
,,,,,,,,,,€0.00,,
,Box Enclosure Mounting,,,,,,,,,€0.00,,
,Distance screws,4,,1466725,,,,,€0.30,€1.20,"ETTINGER SPACER, M3X, 5-VZK ETTINGER-05.13.051-SPACER, M3X, 5-VZK",
,M3x6 screws (preferably M3x4 screws that comes with computers),4,,1419986,,,,,€0.02,€0.09,"DURATOOL-M36 PRSTMCZ100--SCREW, STEEL, BZP, 6MM, M3, PK100",
,M3 washers,4,,1377536,,,,,€0.01,€0.04,"DURATOOL  M3 BRASS FULL WASHER  WASHER, FULL, BRASS, M3",
,,,,,,,,,,€0.00,,
,Recommended Equipment for Electronics Workbench,,,,,,,,,€0.00,,
,0.85mm hex key for encoders (these will be shipped with some enc.),0,,,,,,,,,,
,Proper soldering station,0,,1447700,,,,,€373.94,€0.00,"WELLER  WD 1000T (EU)  SOLDERING STATION, 80W, 50DEG-450DEG, EU",
